timestamp,distance,label
2026-02-22T17:36:07,0.060070,empty
2026-02-22T17:36:08,0.060070,empty
2026-02-22T17:36:09,0.060070,empty
2026-02-22T17:36:09,0.060070,empty
2026-02-22T17:36:10,0.060070,empty
2026-02-22T17:36:10,0.060070,empty
2026-02-22T17:36:11,0.060070,empty
2026-02-22T17:36:11,0.060070,empty
2026-02-22T17:36:12,0.060070,empty
2026-02-22T17:36:12,0.060070,empty
2026-02-22T17:36:13,0.060070,empty
2026-02-22T17:36:13,0.060070,empty
2026-02-22T17:36:14,0.060070,empty
2026-02-22T17:36:14,0.060070,empty
2026-02-22T17:36:15,0.060070,empty
2026-02-22T17:36:15,0.060070,empty
2026-02-22T17:36:16,0.060070,empty
2026-02-22T17:36:16,0.060070,empty
2026-02-22T17:36:17,0.060070,empty
2026-02-22T17:36:17,0.060070,empty
2026-02-22T17:36:18,0.060070,empty
2026-02-22T17:36:18,0.060070,empty
2026-02-22T17:36:19,0.060070,empty
2026-02-22T17:36:19,0.060070,empty
2026-02-22T17:36:20,0.060070,empty
2026-02-22T17:36:20,0.060070,empty
2026-02-22T17:36:21,0.060070,empty
2026-02-22T17:36:21,0.060070,empty
2026-02-22T17:36:22,0.060070,empty
2026-02-22T17:36:22,0.060070,empty
2026-02-22T17:36:23,0.060070,empty
2026-02-22T17:36:23,0.060070,empty
2026-02-22T17:36:24,0.060070,empty
2026-02-22T17:36:24,0.060070,empty
2026-02-22T17:36:25,0.060070,empty
2026-02-22T17:36:25,0.060070,empty
2026-02-22T17:36:26,0.060070,empty
2026-02-22T17:36:26,0.060070,empty
2026-02-22T17:36:27,0.060070,empty
2026-02-22T17:36:27,0.060070,empty
2026-02-22T17:36:28,0.060070,empty
2026-02-22T17:36:28,0.060070,empty
2026-02-22T17:36:29,0.060070,empty
2026-02-22T17:36:29,0.060070,empty
2026-02-22T17:36:30,0.060070,empty
2026-02-22T17:36:30,0.060070,empty
2026-02-22T17:36:31,0.060070,empty
2026-02-22T17:36:31,0.060070,empty
2026-02-22T17:36:32,0.060070,empty
2026-02-22T17:36:32,0.060070,empty
2026-02-22T17:36:33,0.060070,empty
2026-02-22T17:36:33,0.060070,empty
2026-02-22T17:36:34,0.060070,empty
2026-02-22T17:36:34,0.060070,empty
2026-02-22T17:36:35,0.060070,empty
2026-02-22T17:36:35,0.060070,empty
2026-02-22T17:36:36,0.060070,empty
2026-02-22T17:36:36,0.060070,empty
2026-02-22T17:36:37,0.060070,empty
2026-02-22T17:36:37,0.060070,empty
2026-02-22T17:36:38,0.060070,empty
2026-02-22T17:36:38,0.060070,empty
2026-02-22T17:36:39,0.060070,empty
2026-02-22T17:36:39,0.060070,empty
2026-02-22T17:36:40,0.060070,empty
2026-02-22T17:36:40,0.060070,empty
2026-02-22T17:36:41,0.060070,empty
2026-02-22T17:36:41,0.060070,empty
2026-02-22T17:36:42,0.060070,empty
2026-02-22T17:36:42,0.060070,empty
2026-02-22T17:36:43,0.060070,empty
2026-02-22T17:36:43,0.060070,empty
